Source,Target,Type,Id,Label,timeset,Weight,d11,d10,d9,d8,d7,d6,d5,d4,d3,d2,d1,d0
4633372804,5899906140,Undirected,5230,,,1,,,,,"LINESTRING (55.9902838 30.4135958, 55.991098 30.4139346, 55.9914929 30.4140989)",,,128.735,tertiary,خیابان تختی,False,682357958
5899906138,9247905832,Undirected,8022,,,1,,,,,,,,40.306,tertiary,خیابان تختی,False,682357958
5899906138,7298591521,Undirected,8023,,,1,,,,,"LINESTRING (55.9930722 30.4158903, 55.992503 30.41562, 55.9927942 30.4149539, 55.9929327 30.4147052)",,,172.144,residential,"['تختی ۴', 'آذر ۱۲']",False,"[684057730, 624785316]"
7296623804,7296623808,Undirected,10337,,,1,,,,30,"LINESTRING (55.9925777 30.416693, 55.9924395 30.4164929, 55.9923524 30.4164281, 55.9922075 30.4163819, 55.9921808 30.4163792)",,,54.321000000000005,residential,حافظ ۱۱,False,1003869315
854462295,6549038939,Undirected,35,,,1,,,,,,,,54.028,primary,خیابان شهدا,True,646777816
854462295,4451046864,Undirected,36,,,1,,,,,,,,86.565,residential,خیابان معلم,False,674642376
854462295,5899848661,Undirected,37,,,1,,,,,,,,73.256,primary,خیابان شهدا,True,628933914
854462295,7068849031,Undirected,38,,,1,,,,,,,,112.765,residential,خیابان معلم,True,646777815
6549038939,6549038940,Undirected,9110,,,1,,,,,,,,41.087,residential,شهدا ۹,False,697292422
4451046864,5938064611,Undirected,2594,,,1,,,,30,,,,77.679,residential,معلم ۲۰,False,448049984
4451046864,4451046867,Undirected,2595,,,1,,,,,,,,58.776,residential,خیابان معلم,False,674642376
5899848661,5899848670,Undirected,7964,,,1,,,,,,,,101.598,residential,ایستگاه امام حسین,False,624779707
5899848661,5938064610,Undirected,7965,,,1,,,,,,,,5.406,primary,خیابان شهدا,True,628933914
7068849031,7068849033,Undirected,9812,,,1,,,,,,,,58.354,residential,معلم ۲۱,False,781527865
7068849031,7068849039,Undirected,9813,,,1,,,,,,,,51.67,residential,خیابان معلم,True,646777815
854462309,6759487294,Undirected,39,,,1,,,,,,,,228.136,secondary,بلوار مصطفی خمینی,True,133916006
854462309,2108744868,Undirected,40,,,1,,,,,,,,9.99,secondary_link,,False,200911157
854462309,4417576447,Undirected,41,,,1,,,,,,,,73.347,tertiary,نشاط,False,722717804
854462309,4417576454,Undirected,42,,,1,,,,,,,,79.843,secondary,بلوار مصطفی خمینی,True,133916006
6759487294,6759487295,Undirected,9516,,,1,,,,,,,,296.756,residential,مصطفی خمینی ۱۵,False,720208399
2108744868,4417576436,Undirected,1538,,,1,,,,,,,,60.436,secondary,بلوار مصطفی خمینی,True,133915970
2108744868,4417537865,Undirected,1539,,,1,,,,,"LINESTRING (55.9805601 30.4210405, 55.9811167 30.4205165, 55.9815904 30.4200705, 55.982099 30.4195916, 55.9826665 30.4190573, 55.9831503 30.4186018, 55.983688 30.4180955)",,,444.06399999999996,secondary,بلوار مصطفی خمینی,True,133915970
4417576447,4417576453,Undirected,2293,,,1,,,,30,,,,90.378,residential,,False,628947930
4417576454,4417576464,Undirected,2308,,,1,,,,,,,,59.903,secondary,بلوار مصطفی خمینی,True,133916006
854462409,5937880627,Undirected,43,,,1,,,,,,,,39.704,tertiary,خیابان امیرکبیر غربی,False,745470440
854462409,2108743672,Undirected,44,,,1,,,,,,,,49.809,tertiary,,True,1004660173
854462409,2108743668,Undirected,45,,,1,,,,,,,,10.616,tertiary,خیابان امیرکبیر غربی,False,1004660176
854462409,9271116682,Undirected,46,,,1,,,,,,,,28.317,tertiary,بلوار جمهوری اسلامی,True,133914122
5937880627,6419062254,Undirected,8534,,,1,,,,,,,,38.987,residential,امیر کبیرغربی ۴۱,False,685062498
